"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 18 13:52:50 MSK 2025","Fri Apr 18 13:52:53 MSK 2025","3202","","tests.RegistrationTest","","tests.RegistrationTest","registerNewUserWithShortPasswordFail","Негативная регистрация с коротким паролем",""
"passed","Fri Apr 18 13:52:36 MSK 2025","Fri Apr 18 13:52:39 MSK 2025","3839","","tests.MainPageTest","","tests.MainPageTest","testBunsSectionVisible","Переход в раздел 'Булки'",""
"passed","Fri Apr 18 13:53:07 MSK 2025","Fri Apr 18 13:53:11 MSK 2025","4908","","tests.LoginTest","","tests.LoginTest","loginThroughPersonalAccountButtonSuccess","Вход через кнопку «Личный кабинет»",""
"passed","Fri Apr 18 13:53:02 MSK 2025","Fri Apr 18 13:53:07 MSK 2025","4608","","tests.LoginTest","","tests.LoginTest","loginThroughRegistrationLoginButtonSuccess","Вход через кнопку в форме регистрации",""
"passed","Fri Apr 18 13:52:53 MSK 2025","Fri Apr 18 13:52:57 MSK 2025","4355","","tests.LoginTest","","tests.LoginTest","loginThroughResetPasswordFormLoginButtonSuccess","вход через кнопку в форме восстановления пароля.",""
"passed","Fri Apr 18 13:52:39 MSK 2025","Fri Apr 18 13:52:43 MSK 2025","3592","","tests.MainPageTest","","tests.MainPageTest","testSaucesSectionVisible","Переход в раздел 'Соусы'",""
"passed","Fri Apr 18 13:53:24 MSK 2025","Fri Apr 18 13:53:29 MSK 2025","5344","","tests.ProfilePageTest","","tests.ProfilePageTest","clickConstructorButtonSuccess","Переход из личного кабинета по клику на конструктор",""
"passed","Fri Apr 18 13:52:43 MSK 2025","Fri Apr 18 13:52:50 MSK 2025","6637","","tests.RegistrationTest","","tests.RegistrationTest","registerNewUserSuccess","Тест успешной регистрации",""
"passed","Fri Apr 18 13:53:29 MSK 2025","Fri Apr 18 13:53:34 MSK 2025","5038","","tests.ProfilePageTest","","tests.ProfilePageTest","clickLogoSuccess","Переход из личного кабинета по клику на логотип 'stellar burgers'",""
"passed","Fri Apr 18 13:53:18 MSK 2025","Fri Apr 18 13:53:24 MSK 2025","5836","","tests.ProfilePageTest","","tests.ProfilePageTest","clickPersonalAccountSuccess","Переход в личный кабинет",""
"passed","Fri Apr 18 13:52:57 MSK 2025","Fri Apr 18 13:53:02 MSK 2025","4707","","tests.LoginTest","","tests.LoginTest","loginThroughLoginButtonSuccess","Вход по кнопке «Войти в аккаунт» на главной",""
"passed","Fri Apr 18 13:53:12 MSK 2025","Fri Apr 18 13:53:18 MSK 2025","6313","","tests.LogoutTest","","tests.LogoutTest","clickConstructorButtonSuccess","выход по кнопке «Выход» в личном кабинете.",""
"passed","Fri Apr 18 13:52:26 MSK 2025","Fri Apr 18 13:52:35 MSK 2025","9168","","tests.MainPageTest","","tests.MainPageTest","testToppingsSectionVisible","Переход в раздел 'Начинки'",""
